High Priority Response Time
35557, 44251, 72765, 98261, 78043, 41883, 78187, 84457, 71177, 81477, 75569, 85124, 77743, 78008, 74809, 82715, 79439, 73839, 77365, 79575, 82405, 77135, 78025, 80342, 78577, 82206, 71569, 81471, 93096, 79417, 87581, 65352, 81058, 78906, 85121, 75767, 80685, 77061, 79358, 76937, 80246, 78356, 79133, 78413, 78042, 76785, 86994, 81708, 68663, 75096, 86256, 75122, 74852, 79170, 77261, 77650, 78089, 78547, 75687, 78235, 77332, 84041, 81227, 66296
7796, 41435, 65100, 86885, 64920, 107099, 23396, 76655, 83939, 72971, 83525, 74732, 85961, 78737, 76080, 81344, 77190, 77952, 74022, 78661, 79088, 81474, 78073, 80660, 78796, 83595, 80170, 75529, 78358, 87559, 77737, 90049, 73651, 73565, 82004, 78484, 82954, 74420, 79785, 77394, 83330, 76918, 75825, 79410, 77025, 79963, 79229, 87204, 82349, 76297, 75900, 73021, 79609, 75030, 76032, 75433, 77460, 80936, 75788, 77250, 76167, 80147, 80641, 85711
27918, 51155, 69979, 93404, 96615, 34598, 82583, 71746, 82833, 73738, 84612, 69597, 81725, 82338, 81753, 67258, 81789, 84107, 81369, 79269, 78597, 80298, 78942, 78071, 80076, 73653, 79275, 83543, 91486, 78665, 74222, 79535, 81099, 78244, 78546, 84882, 76146, 79694, 78575, 78501, 79216, 78285, 78535, 78746, 77028, 79596, 71711, 83696, 76111, 79230, 79205, 79408, 78754, 78180, 76903, 77984, 79049, 74804, 78792, 77231, 76553, 67673, 83194, 77120
28439, 38969, 78589, 82542, 86484, 37130, 74418, 88766, 69368, 82434, 75191, 85319, 78138, 78851, 74199, 82685, 75659, 77791, 77589, 80097, 79601, 77827, 80430, 78578, 79242, 83058, 79286, 71423, 93909, 78103, 89653, 75435, 70135, 81319, 82746, 74806, 81281, 77595, 79530, 81266, 75088, 79345, 77544, 77816, 79966, 76671, 87129, 82417, 79337, 73928, 76111, 75933, 75496, 77096, 78095, 75937, 77755, 78985, 75836, 75919, 78832, 83883, 83246, 77055
21558, 56030, 83659, 54485, 62652, 86951, 77838, 85744, 71582, 83157, 74519, 84037, 77826, 79232, 75123, 80863, 77195, 75342, 79554, 79297, 82014, 78515, 77423, 79878, 79489, 84328, 78348, 75330, 89586, 79840, 87144, 75480, 71203, 78263, 83705, 81230, 76219, 77845, 79934, 80046, 75456, 79764, 79272, 77686, 81246, 76526, 85649, 84792, 74399, 77138, 71739, 80175, 74575, 75606, 77740, 76692, 81381, 75733, 75896, 78088, 76739, 83108, 84719, 74645
8797, 63178, 69793, 91449, 98958, 20148, 81952, 73169, 82411, 73376, 83477, 70284, 81583, 83244, 85788, 77422, 79245, 72215, 81574, 79074, 76666, 80638, 80825, 77785, 85175, 65431, 81206, 79436, 94405, 80697, 76085, 77558, 81451, 82565, 74867, 71534, 87906, 81614, 75817, 78288, 79967, 79355, 76831, 79209, 76930, 78131, 76819, 79546, 78777, 83091, 71577, 81592, 78986, 78742, 77317, 77387, 70673, 81556, 78742, 79180, 77354, 66966, 81762, 77674
19921, 54022, 78264, 70982, 53656, 84298, 81351, 73887, 82455, 78476, 80287, 81386, 79073, 75409, 77354, 82603, 78360, 75341, 79520, 79315, 79805, 77783, 78926, 81300, 78556, 77652, 73569, 85398, 91921, 78321, 73538, 79335, 81488, 78396, 84569, 79875, 74498, 79994, 78655, 77192, 80494, 77011, 78203, 81532, 75955, 79870, 81366, 72441, 78549, 76737, 84743, 73901, 78753, 79517, 77741, 75818, 82231, 73974, 74791, 79933, 77752, 82407, 67942, 80154
38510, 45034, 65230, 77423, 90151, 49958, 81296, 79941, 72247, 82290, 76125, 83173, 68570, 81429, 83418, 69053, 77213, 79906, 88981, 79714, 79907, 78445, 78536, 76576, 82162, 68094, 84095, 82861, 85705, 87009, 83904, 65820, 82425, 81749, 85477, 74565, 71563, 86094, 77717, 80841, 76885, 77094, 80255, 79576, 79168, 75822, 79540, 73776, 80977, 76273, 78152, 77460, 81473, 80523, 75865, 79470, 77189, 73107, 79457, 79099, 77761, 83195, 65550, 80981
15759, 63580, 86875, 64901, 108675, 21294, 78791, 77432, 78135, 79447, 80152, 82247, 76894, 75704, 84809, 77427, 79265, 71878, 80378, 80469, 79638, 77495, 81751, 77200, 85147, 71754, 76185, 86707, 87116, 75659, 76386, 79372, 81632, 85298, 76499, 82930, 73337, 80626, 79065, 75933, 80091, 77137, 79289, 80534, 76513, 79620, 83113, 87992, 60542, 80292, 83699, 72267, 79891, 77819, 78348, 76057, 80357, 76498, 75691, 76414, 80135, 82386, 67711, 77057
40297, 46495, 67126, 68215, 97354, 47467, 78803, 81864, 76470, 77159, 79740, 80359, 81431, 80545, 74044, 79640, 80221, 76330, 75963, 78286, 80036, 79669, 77795, 79845, 80079, 83167, 81566, 72033, 88104, 82151, 85142, 81675, 77548, 68507, 87429, 72598, 83694, 75354, 79834, 77319, 76927, 80489, 79338, 78825, 78527, 77334, 78020, 87512, 84458, 74806, 77648, 72053, 80125, 73504, 79484, 76310, 76738, 78517, 76629, 76977, 77262, 82539, 75608, 69902
