High Priority WRET
8821, 12576, 13579, 13410, 13376, 12412, 12395, 12156, 11879, 11998
12089, 12572, 12695, 12635, 12646, 12679, 12616, 12470, 12462, 12413
9518, 12934, 13036, 12528, 12324, 12063, 12047, 11962, 12086, 12120
13263, 13452, 13515, 12061, 11911, 11868, 11821, 11879, 11932, 11841
10211, 12141, 12375, 12116, 12134, 12203, 12167, 12457, 12574, 12660
7150, 11935, 12078, 12077, 12027, 11963, 12012, 12092, 12159, 12154
12029, 13332, 13374, 13033, 12686, 12629, 12619, 12118, 12002, 12237
12130, 12286, 12404, 12133, 12327, 12239, 11967, 11685, 11670, 11894
7279, 11982, 12076, 12152, 11600, 11687, 11719, 11625, 11781, 11827
10291, 12177, 12323, 12155, 12151, 12206, 12229, 12223, 12164, 12264
13112, 13430, 13522, 12309, 12341, 12331, 12177, 12157, 12173, 12409
12505, 12884, 13430, 12520, 12402, 12036, 11743, 11610, 11727, 11784
