High Priority Response Time
25454, 19686, 21442, 21603, 21866, 21581, 26572, 17900, 18566, 23814
24679, 21575, 22321, 22981, 22151, 24046, 24678, 25145, 19347, 25078
13145, 25100, 27797, 22603, 19764, 17752, 23828, 19707, 20749, 25629
28019, 22101, 24786, 24382, 23964, 25607, 21268, 19105, 22381, 22421
13971, 22645, 22331, 23590, 24145, 23927, 20690, 21384, 21778, 24461
23546, 21258, 21985, 22320, 21502, 20683, 22293, 22343, 19022, 20021
14503, 19157, 25202, 27636, 21584, 26791, 27193, 26337, 23023, 25300
26882, 29079, 24872, 21281, 27075, 16637, 27031, 18703, 24132, 19029
25064, 24366, 23806, 22980, 19261, 21498, 22854, 16873, 20332, 24470
15625, 20431, 24295, 23023, 23170, 22623, 25522, 23859, 23071, 20253
15690, 21918, 24019, 25291, 25795, 25572, 25000, 25654, 25337, 20656
11318, 16963, 22586, 23142, 25773, 23332, 22625, 23706, 27531, 22177
